,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,2021-09-14,ADANIPORTS,EQ,745.1,747.8,762.75,745.45,756.5,755.4,755.58,5615411,424290764140000.0,75482,1388244,0.2472
1,2021-09-15,ADANIPORTS,EQ,755.4,758.55,769.8,753.6,765.65,765.95,763.32,7039338,537329841400000.0,115635,2293836,0.3259
2,2021-09-16,ADANIPORTS,EQ,765.95,769.0,772.75,760.0,768.1,769.65,766.56,4625316,354560275115000.0,78970,1507205,0.3259
3,2021-09-17,ADANIPORTS,EQ,769.65,773.3,786.0,760.0,764.2,767.1,772.6,9701785,749556299165000.0,134849,2580511,0.266
4,2021-09-20,ADANIPORTS,EQ,767.1,759.8,776.0,746.1,747.5,748.9,761.87,5570433,424396187265000.0,84484,1093989,0.19640000000000002
5,2021-09-21,ADANIPORTS,EQ,748.9,754.0,758.8,734.05,752.85,749.6,746.34,7766479,579642529850000.0,82405,2611503,0.33630000000000004
6,2021-09-22,ADANIPORTS,EQ,749.6,750.0,759.6,742.0,746.0,745.3,751.33,4343365,326328876115000.0,60376,1329060,0.306
7,2021-09-23,ADANIPORTS,EQ,745.3,754.4,760.0,750.55,754.0,754.5,755.01,3526253,266234824265000.0,62096,735402,0.2086
8,2021-09-24,ADANIPORTS,EQ,754.5,756.0,764.9,743.0,743.8,744.8,753.04,4445517,334763858320000.0,70619,791642,0.17809999999999998
9,2021-09-27,ADANIPORTS,EQ,744.8,749.7,753.8,736.4,750.2,750.25,746.15,3803939,283829281380000.0,63043,870469,0.2288
10,2021-09-28,ADANIPORTS,EQ,750.25,754.0,756.9,733.0,737.0,738.7,743.85,3748173,278807825210000.0,59682,1156974,0.30870000000000003
11,2021-09-29,ADANIPORTS,EQ,738.7,737.65,747.85,736.0,742.3,742.0,743.07,2734053,203158862300000.0,45107,528295,0.1932
12,2021-09-30,ADANIPORTS,EQ,742.0,745.8,756.5,736.0,737.4,737.9,744.76,4356469,324453897755000.0,64273,975165,0.2238
13,2021-10-01,ADANIPORTS,EQ,737.9,735.85,738.25,722.0,734.35,734.95,730.52,4008108,292800436110000.0,57693,533570,0.1331
14,2021-10-04,ADANIPORTS,EQ,734.95,738.85,747.5,736.05,742.9,744.2,742.38,3414151,253459513825000.0,47094,957650,0.2805
15,2021-10-05,ADANIPORTS,EQ,744.2,744.15,753.8,742.0,743.9,743.95,745.87,3270764,243956516140000.0,48463,841108,0.2572
16,2021-10-06,ADANIPORTS,EQ,743.95,747.7,749.0,721.85,722.85,724.0,732.71,3615568,264916873819999.97,62309,1204394,0.3331
17,2021-10-07,ADANIPORTS,EQ,724.0,730.0,738.8,726.55,735.55,736.15,733.03,3237419,237313943369999.97,50359,990929,0.3061
18,2021-10-08,ADANIPORTS,EQ,736.15,739.7,747.0,733.5,738.75,739.9,739.94,2878232,212972230910000.0,47409,738927,0.25670000000000004
19,2021-10-11,ADANIPORTS,EQ,739.9,743.9,746.0,736.5,737.4,737.45,740.08,2118247,156766221020000.0,35438,757559,0.3576
20,2021-10-12,ADANIPORTS,EQ,737.45,737.65,740.95,728.85,736.5,736.9,734.38,2152513,158075746655000.0,41631,510434,0.2371
21,2021-10-13,ADANIPORTS,EQ,736.9,740.6,764.6,739.1,762.15,759.0,755.76,9083125,686466223220000.0,133048,2469012,0.2718
22,2021-10-14,ADANIPORTS,EQ,759.0,766.1,817.7,764.25,812.95,812.8,796.74,19754735,1573929476985000.0,292775,4456896,0.2256
23,2021-10-18,ADANIPORTS,EQ,812.8,820.9,829.9,807.0,808.9,810.55,820.29,8883845,728733578845000.0,140419,2707893,0.3048
24,2021-10-19,ADANIPORTS,EQ,810.55,815.0,820.0,785.0,791.0,792.25,807.01,5543852,447391976935000.06,81177,1266637,0.2285
25,2021-10-20,ADANIPORTS,EQ,792.25,792.0,802.9,777.5,797.0,794.9,791.94,5467049,432956394850000.0,88272,1124660,0.2057
26,2021-10-21,ADANIPORTS,EQ,794.9,799.0,802.9,775.3,779.0,779.35,787.23,4607499,362714415425000.0,71875,1154562,0.2506
27,2021-10-22,ADANIPORTS,EQ,779.35,780.3,787.3,753.9,763.0,761.8,770.02,3860760,297288150955000.0,65478,902760,0.2338
28,2021-10-25,ADANIPORTS,EQ,761.8,765.0,765.55,738.55,751.0,752.05,750.99,2973109,223278141985000.0,49287,857287,0.2883
29,2021-10-26,ADANIPORTS,EQ,752.05,752.0,758.55,740.05,751.2,749.9,749.41,3093933,231861084315000.0,48910,1055244,0.3411
30,2021-10-27,ADANIPORTS,EQ,749.9,753.65,756.55,743.65,746.0,745.85,748.54,3246881,243041947205000.03,53804,1008726,0.31070000000000003
31,2021-10-28,ADANIPORTS,EQ,745.85,724.35,734.5,681.15,691.05,688.1,700.34,18160551,1271859531680000.0,293375,4720564,0.25989999999999996
32,2021-10-29,ADANIPORTS,EQ,688.1,697.0,709.6,687.0,695.0,693.0,698.73,7612968,531942471270000.0,136538,1492567,0.1961
33,2021-11-01,ADANIPORTS,EQ,693.0,705.0,707.0,690.0,706.95,704.4,699.45,3233662,226178531240000.0,65929,1041693,0.3221
34,2021-11-02,ADANIPORTS,EQ,704.4,707.0,715.0,700.65,703.0,702.35,708.03,3028354,214415184780000.0,54729,605060,0.1998
35,2021-11-03,ADANIPORTS,EQ,702.35,702.0,719.8,702.0,711.7,709.2,711.26,3036191,215951260825000.0,59435,565591,0.1863
